project	bucket	rationale	refs_strong	refs_weak	ref_sources	files	bytes	tracked_files	tracked_bytes	builder_scripts	intermediate_hits	status_marker
20260724_likelihood_vaf_edge_identifiability_audit	A	Q1 有 5 處路徑引用，0.0 MB 可進 git	5	0	"docs/handoff/20260801_exactPS_readAF_CNV_AI\344\272\244\346\216\245_01/20260801_\346\254\212\345\250\201\350\263\207\346\226\231\350\210\207\351\201\216\346\234\237\344\276\206\346\272\220\347\231\273\351\214\204_01.md";"docs/handoff/20260801_exactPS_readAF_CNV_AI\344\272\244\346\216\245_01/20260801_\347\240\224\347\251\266\347\213\200\346\205\213\350\210\207AI\344\272\244\346\216\245\346\211\213\345\206\212_01.md";"docs/handoff/20260801_exactPS_readAF_CNV_AI\344\272\244\346\216\245_01/20260801_readAF_CNV\350\210\207\345\226\256\344\270\200\346\250\271\346\261\272\347\255\226\350\246\217\346\240\274_01.md"	2	34120	2	0	0	0	
20260724_methyl_linked_ssnv_g1_visual_report	A	Q1 有 1 處路徑引用，2.0 MB 可進 git	1	0	"research/20260724_methyl_linked_ssnv_g1_visual_report/20260724_\347\224\262\345\237\272linked-sSNV_G1\345\205\250\346\250\243\346\234\254HTML\351\251\227\350\255\211\347\264\200\351\214\204_01.md"	12	1982265	4	75637	2	2	
20260725_crosssample_topology_matrix_report	A	Q1 有 2 處路徑引用，7.7 MB 可進 git	2	0	"research/20260725_crosssample_topology_matrix_report/20260725_\350\267\250\346\250\243\346\234\254\346\213\223\346\222\262\347\237\251\351\231\243\345\237\267\350\241\214\347\264\200\351\214\204_01.md";docs/methodology/20260725_exactPS_pipeline_definitions_symbols_scope_01.md	109	7687536	7	153730	4	4	
20260725_hypercube_computation_complexity_explainer	A	Q1 有 1 處路徑引用，1.1 MB 可進 git	1	0	"research/20260725_hypercube_computation_complexity_explainer/20260725_\350\250\210\347\256\227\351\207\217\345\205\254\345\274\217\350\210\207HTML\351\251\227\350\255\211\347\264\200\351\214\204_01.md"	18	1116122	5	32649	3	3	
20260725_methyl_alt_ref_topology_overlay_validation	A	Q1 有 4 處路徑引用，1.3 MB 可進 git	4	1	"research/20260725_methyl_alt_ref_topology_overlay_validation/20260725_ALTREF\347\224\262\345\237\272\345\267\256\347\225\260\350\210\207latest\345\200\231\351\201\270\346\213\223\346\222\262\345\260\215\346\207\211\351\251\227\350\255\211_01.html";"research/20260725_methyl_alt_ref_topology_overlay_validation/20260725_ALTREF\347\224\262\345\237\272\345\267\256\347\225\260\350\210\207latest\345\200\231\351\201\270\346\213\223\346\222\262\345\260\215\346\207\211\351\251\227\350\255\211_01.md";research/20260724_exact_ps_cpp_topology_signature_census/artifacts/exact_ps_workstation_audit_v4_all7_09/receipt.json	27	1284649	26	316201	2	1	validated
20260726_m1_locus_annotation_layer	B	Q1 有 1 處路徑引用，但 52.6 MB 過大，留磁碟	1	0	"docs/reports/validated/2026/08/20260811_CCU_lab_tutorial\347\266\262\347\253\231\347\247\221\345\255\270\346\225\230\350\277\260\345\256\214\346\225\264\347\250\275\346\240\270_01.standalone.html"	38	52608148	9	131057	9	9	
20260727_hcc1395_chr9_s4_s5_raw_bridge_audit	A	Q1 有 1 處路徑引用，0.1 MB 可進 git	1	0	"research/20260727_hcc1395_chr9_s4_s5_raw_bridge_audit/results/20260727_raw_bridge_audit\347\265\220\346\236\234\350\252\252\346\230\216_01.md"	4	67020	2	16336	1	0	
20260727_layered_workstation_shared_genome_scale	MANUAL	四問皆不適用，需人工裁決	0	0		1	10120	1	0	0	0	
20260727_multisite_pattern_methyl_topology_validation	A	Q1 有 8 處路徑引用，0.8 MB 可進 git	8	2	"docs/handoff/20260801_exactPS_readAF_CNV_AI\344\272\244\346\216\245_01/20260801_AI\346\226\260\350\256\200\350\200\205\346\270\254\350\251\246\350\210\207\344\277\256\346\255\243\347\264\200\351\214\204_01.md";"docs/handoff/20260801_exactPS_readAF_CNV_AI\344\272\244\346\216\245_01/20260801_\346\254\212\345\250\201\350\263\207\346\226\231\350\210\207\351\201\216\346\234\237\344\276\206\346\272\220\347\231\273\351\214\204_01.md";"docs/handoff/20260801_exactPS_readAF_CNV_AI\344\272\244\346\216\245_01/20260801_\347\240\224\347\251\266\347\213\200\346\205\213\350\210\207AI\344\272\244\346\216\245\346\211\213\345\206\212_01.md"	27	768412	25	634405	18	2	frozen_before_full_run
20260730_h2009_terminal_alt_methyl_upgma_visual	A	Q1 有 1 處路徑引用，2.0 MB 可進 git	1	0	"research/20260730_h2009_terminal_alt_methyl_upgma_visual/20260730_H2009\346\234\253\347\253\257ALT\347\224\262\345\237\272\350\267\235\351\233\242\350\210\207UPGMA\345\234\226\350\247\243_01.md"	21	2036068	6	80263	3	2	
20260801_exact_ps_observation_report	A	Q1 有 7 處路徑引用，0.2 MB 可進 git	7	2	"docs/architecture/20260805_\347\263\273\347\265\261\346\225\264\351\253\224\346\265\201\347\250\213\350\210\207\346\236\266\346\247\213\347\270\275\350\246\275_01.standalone.html";"docs/handoff/20260801_exactPS_readAF_CNV_AI\344\272\244\346\216\245_01/README.md";"docs/handoff/20260805_\347\263\273\347\265\261\344\272\244\346\216\245\350\210\207\351\251\227\346\224\266_01/02_\347\250\213\345\274\217\345\261\244.md"	14	221184	9	141559	5	5	validated
20260810_cnv_confound_seqc2_savana_audit	B	Q1 有 4 處路徑引用，但 18.6 MB 過大，留磁碟	4	1	"research/20260810_cnv_confound_seqc2_savana_audit/docs/20260810_CNV\346\267\267\346\267\206\347\250\275\346\240\270_01.standalone.html";docs/methodology/20260811_lab_tutorial_crosscheck_HCC1395.standalone.html;docs/methodology/20260811_lab_tutorial_crosscheck_v2.standalone.html	77	18586044	25	310179	23	23	in_progress
20260811_ccu_lab_tutorial_claim_audit	A	Q1 有 3 處路徑引用，0.0 MB 可進 git	3	0	"docs/reports/validated/2026/08/20260811_CCU_lab_tutorial\347\266\262\347\253\231\347\247\221\345\255\270\346\225\230\350\277\260\345\256\214\346\225\264\347\250\275\346\240\270_01.md";"docs/reports/validated/2026/08/20260811_CCU_lab_tutorial\347\266\262\347\253\231\347\247\221\345\255\270\346\225\230\350\277\260\345\256\214\346\225\264\347\250\275\346\240\270_01.standalone.html";research/20260812_intersubmod_github_public_docs_full_validation/command_receipts.md	5	21647	2	8589	0	0	
20260812_intersubmod_github_public_docs_full_validation	A	Q1 有 2 處路徑引用，6.2 MB 可進 git	2	0	"docs/reports/validated/2026/08/20260812_InterSubMod_GitHub\345\205\254\351\226\213\350\252\252\346\230\216\350\210\207\346\225\231\345\255\270\345\256\214\346\225\264\351\251\227\350\255\211_01.md";"docs/reports/validated/2026/08/20260812_InterSubMod_GitHub\345\205\254\351\226\213\350\252\252\346\230\216\350\210\207\346\225\231\345\255\270\345\256\214\346\225\264\351\251\227\350\255\211_01.standalone.html"	17	6232140	7	63969	1	0	
20260813_hcc1395_drilldown_validation	B	Q1 有 1 處路徑引用，但 10.6 MB 過大，留磁碟	1	1	"research/20260813_hcc1395_drilldown_validation/20260813_HCC1395_drilldown\345\256\214\346\225\264\351\251\227\350\255\211\350\210\207\345\244\232\346\250\243\346\234\254\346\224\271\351\200\262_01.md"	102	10604880	22	1121276	9	14	
20260813_public_docs_p0_correction	MANUAL	四問皆不適用，需人工裁決	0	0		3	23456	0	0	0	0	in_progress
B2_loh_skeptical_check	A	Q1 有 1 處路徑引用，0.0 MB 可進 git	1	2	docs/experiments/in_progress/2026/04/20260418_B2_LOH_Subclone_Deep_Skeptical_Check_01.md	7	40400	1	17405	1	0	
F_hpfinengroups_deepening	A	Q1 有 18 處路徑引用，3.4 MB 可進 git	18	2	"docs/presentations/validated/2026/04/20260423_\347\240\224\347\251\266\351\200\261\345\240\261_LOH_constrained_phasing_pivot/source_weekly_report.md";"docs/reports/research_landscape/06_\347\265\220\350\253\226\347\251\251\345\256\232\346\200\247\345\257\251\346\237\245.md";"docs/reports/validated/2026/04/20260421_\347\240\224\347\251\266\351\200\261\345\240\261_20260414_20260421_\345\244\232\350\273\214\346\224\266\346\226\202\350\210\207\345\256\232\344\275\215\345\256\232\351\214\250_01.md"	81	3387788	34	234740	17	0	
P3_window_aggregation_pilot	A	Q1 有 3 處路徑引用，0.3 MB 可進 git	3	2	docs/data_specs/20260601_cleanup_audit/area_3_research_concluded.md;docs/experiments/INDEX.md;docs/experiments/in_progress/2026/04/20260417_P3_window_aggregation_pilot_NEGATIVE_01.md	6	254112	3	14412	2	0	
P4_second_hit_order_pilot	A	Q1 有 3 處路徑引用，0.2 MB 可進 git	3	4	docs/data_specs/20260601_cleanup_audit/area_3_research_concluded.md;docs/experiments/INDEX.md;docs/experiments/in_progress/2026/04/20260417_P4_second_hit_order_pilot_CONDITIONAL_NEG_01.md	5	247032	2	12203	1	0	
autoresearch	A	Q1 有 184 處路徑引用，0.5 MB 可進 git	184	17	"docs/architecture/20260519_\347\240\224\347\251\266\350\267\257\345\276\221\350\210\207\344\272\224\345\244\247\347\233\256\346\250\231\350\267\257\347\267\232\345\234\226_01.md";"docs/architecture/20260519_\347\240\224\347\251\266\350\267\257\345\276\221\350\210\207\344\272\224\345\244\247\347\233\256\346\250\231\350\267\257\347\267\232\345\234\226_01.standalone.html";"docs/concepts/2026/06/20260603_\347\233\256\346\250\231\346\246\202\345\277\265\346\225\264\347\220\206_\347\224\262\345\237\272haplotype\350\253\226\346\226\207_\351\233\243\345\272\246\345\203\271\345\200\274\351\233\231\350\273\270_01.md"	24	517722	24	472666	1	0	validated
clairs_to_verdict_pilot	B	Q1 有 3 處路徑引用，但 298.0 MB 過大，留磁碟	3	11	docs/data_specs/20260601_cleanup_audit/area_3_research_concluded.md;docs/experiments/in_progress/2026/04/20260420_ClairS_TO_Verdict_Characterization_Pilot_01.md;docs/references/2026/04/20260420_external_CN_tools_survey_01.md	8	298034050	3	21060	2	0	in_progress
coverage_multiple_validation	A	Q1 有 7 處路徑引用，1.7 MB 可進 git	7	3	docs/data_specs/20260601_cleanup_audit/area_3_research_concluded.md;docs/experiments/in_progress/2026/04/20260420_CovM_Baseline_Accuracy_Validation_01.md;docs/experiments/in_progress/2026/04/20260420_KDE_Fix_Acceptance_Validation_01.md	20	1659258	6	55357	3	0	
data_registry	A	Q1 有 5 處路徑引用，0.0 MB 可進 git	5	4	docs/data_specs/20260601_cleanup_audit/CLEANUP_PROPOSAL.md;docs/data_specs/20260601_cleanup_audit/MASTER_CLEANUP_INDEX.md;docs/experiments/in_progress/2026/04/20260426_data_provenance_audit_01.md	2	11994	1	4291	0	0	active
external_tools	A	Q1 有 2 處路徑引用，0.0 MB 可進 git	2	10	docs/data_specs/20260601_cleanup_audit/area_3_research_concluded.md;research/AGENTS.md	1	9985	1	5889	0	0	
feature_layered_observation	B	Q1 有 15 處路徑引用，但 459.7 MB 過大，留磁碟	15	3	.claude/skills/feature-layered-observation/SKILL.md;.claude/skills/feature-layered-observation/evals.json;.claude/skills/feature-layered-observation/references/observation_report_template.md	419	459657807	35	709773	20	3	draft
flagship_chr2_18086020_20260612	A	Q1 有 13 處路徑引用，0.3 MB 可進 git	13	1	"docs/paper_focus/00_\350\253\226\346\226\207\347\253\240\347\257\200\346\235\220\346\226\231\345\260\215\346\207\211\347\270\275\350\241\250_20260612_01.md";"docs/paper_focus/02_paper_framework/20260612_Results\351\252\250\346\236\266_ch4_\344\270\273\350\273\270\346\261\272\347\255\226\345\276\214_01.md";"docs/paper_focus/02_paper_framework/20260613_ISM\347\224\262\345\237\272\350\256\200\345\217\226_\347\264\260\347\257\200\346\225\270\345\255\227_verified\346\240\241\346\255\243_01.md"	27	252781	0	0	0	0	
fp_provenance	B	Q1 有 9 處路徑引用，但 59.8 MB 過大，留磁碟	9	20	docs/data_specs/20260601_cleanup_audit/area_3_research_concluded.md;docs/reports/validated/2026/03/20260322_TO_FP_provenance_methylation_analysis_01.md;docs/reports/validated/2026/03/20260322_TO_TP_FP_germline_LOH_characterization_01.md	26	59753338	25	40441	0	0	
germline_asm_analysis	A	Q1 有 1 處路徑引用，2.7 MB 可進 git	1	4	docs/experiments/in_progress/2026/04/20260415_PerCpG_ASM_Epiallele_Metrics_01.md	10	2675182	0	0	0	0	
hcc1954_reversal_investigation	A	Q1 有 4 處路徑引用，0.0 MB 可進 git	4	1	"docs/reports/research_landscape/06_\347\265\220\350\253\226\347\251\251\345\256\232\346\200\247\345\257\251\346\237\245.md";docs/data_specs/20260601_cleanup_audit/area_3_research_concluded.md;docs/experiments/in_progress/2026/04/20260417_HCC1954_reversal_investigation_01.md	7	36393	7	24105	1	0	
hku_collaboration	B	Q1 有 12 處路徑引用，但 19.8 MB 過大，留磁碟	12	4	"docs/concepts/2026/05/20260523_HKU_collab_\344\270\273\350\273\270\350\210\207\347\264\260\347\257\200_01.md";"docs/concepts/2026/05/20260523_HKU_collab_\346\225\264\347\220\206\350\263\207\350\250\212_01.md";docs/concepts/2026/05/20260524_reviewer_coverage_matrix_01.md	84	19847201	25	321706	17	3	computed
hpfinengroups_saturation_check	A	Q1 有 4 處路徑引用，0.1 MB 可進 git	4	1	"docs/reports/research_landscape/06_\347\265\220\350\253\226\347\251\251\345\256\232\346\200\247\345\257\251\346\237\245.md";.claude/settings.local.json;docs/data_specs/20260601_cleanup_audit/area_3_research_concluded.md	13	74034	13	57650	3	0	
igv_sessions	A	Q1 有 6 處路徑引用，0.2 MB 可進 git	6	12	docs/data_specs/20260601_cleanup_audit/area_3_research_concluded.md;docs/reports/pi_reports/2026/04/figures/igv_v5_audit/README.md;docs/reports/pi_reports/2026/04/figures/igv_v5_audit/by_HP_5versions/_session_note.md	22	237140	22	224852	0	0	
implementation_notes_skill_spec	A	Q1 有 1 處路徑引用，0.0 MB 可進 git	1	1	docs/data_specs/20260601_cleanup_audit/area_3_research_concluded.md	1	13655	1	9559	0	0	in_progress
independent_analyses_20260411	A	Q1 有 4 處路徑引用，0.0 MB 可進 git	4	3	"docs/experiments/in_progress/2026/04/20260411_H2009\350\262\240\345\220\221\346\240\271\345\233\240\350\250\272\346\226\267_01.md";"docs/experiments/in_progress/2026/04/20260411_PON\350\267\250\346\250\243\346\234\254\347\247\273\351\231\244\347\216\207\351\251\227\350\255\211_01.md";docs/data_specs/20260601_cleanup_audit/area_3_research_concluded.md	3	13470	2	8885	0	0	
kde_fix_validation	A	Q1 有 6 處路徑引用，6.8 MB 可進 git	6	2	docs/data_specs/20260601_cleanup_audit/area_3_research_concluded.md;docs/experiments/in_progress/2026/04/20260420_CovM_Baseline_Accuracy_Validation_01.md;docs/experiments/in_progress/2026/04/20260420_KDE_Fix_Acceptance_Validation_01.md	34	6789560	14	90279	7	0	complete
literature_validation	A	Q1 有 6 處路徑引用，1.7 MB 可進 git	6	3	"docs/presentations/validated/2026/04/20260413_\347\240\224\347\251\266\351\200\261\345\240\261_LOH_CNV\346\225\264\345\220\210\350\210\207HP\344\277\256\346\255\243/01_full_narrative_report.md";"docs/presentations/validated/2026/04/20260413_\347\240\224\347\251\266\351\200\261\345\240\261_LOH_CNV\346\225\264\345\220\210\350\210\207HP\344\277\256\346\255\243/pptx_config.json";"docs/provenance/ai_sessions/2026/04/20260412_\346\226\207\347\215\273\345\201\207\350\252\252\351\251\227\350\255\211\350\210\207\351\251\227\350\255\211\346\241\206\346\236\266Wave4_5_01.md"	13	1679212	6	60347	3	0	
loh_cn_af_verification	A	Q1 有 6 處路徑引用，0.8 MB 可進 git	6	1	"docs/reports/research_landscape/07_LOH_CN_AF_\347\240\224\347\251\266\347\270\275\346\225\264\347\220\206.md";"research/loh_cn_af_verification/20260417_LOH_CN_AF_\347\265\220\350\253\226\351\251\227\350\255\211\345\240\261\345\221\212_01.md";docs/concepts/2026/04/20260417_Zone_Aware_Confidence_Framework_01.md	7	759772	1	0	0	0	
loh_investigation	B	Q1 有 21 處路徑引用，但 46.3 MB 過大，留磁碟	21	14	"docs/plans/2026/04/20260403_LongPhase_TO_\344\272\214\346\254\241Phasing\346\226\271\346\241\210\350\250\255\350\250\210\350\210\207\351\251\227\350\255\211\350\250\210\347\225\253_01.md";"docs/presentations/validated/2026/04/20260414_\347\240\224\347\251\266\351\200\261\345\240\261_LOH_Subclone_AF_Methylation/build_pptx.py";"docs/reports/research_landscape/02_Self_Phasing\346\240\271\345\233\240.md"	211	46293563	17	240288	5	0	
loh_subclone_af	A	Q1 有 28 處路徑引用，4.8 MB 可進 git	28	41	"docs/concepts/2026/06/20260609_G6_\347\240\224\347\251\266\346\247\213\346\203\263\344\270\211\345\261\244\346\236\266\346\247\213_\346\274\217\346\226\227\347\240\224\347\251\266\345\215\241\350\255\211\346\223\232\351\217\210_01.standalone.html";"docs/paper_focus/01_focus_notes/02_\346\226\207\344\273\266\345\272\253_\346\254\212\345\250\201\344\276\206\346\272\220_\344\270\211\350\211\262provenance.md";"docs/paper_focus/01_focus_notes/08_\344\273\273\345\213\231\345\237\267\350\241\214\345\233\236\345\240\261_catalog\345\273\272\346\247\213\350\210\207provenance.md"	28	4831420	6	71027	3	0	
loh_subclone_af_paired	A	Q1 有 16 處路徑引用，4.7 MB 可進 git	16	8	"docs/concepts/2026/06/20260609_G6_\347\240\224\347\251\266\346\247\213\346\203\263\344\270\211\345\261\244\346\236\266\346\247\213_\346\274\217\346\226\227\347\240\224\347\251\266\345\215\241\350\255\211\346\223\232\351\217\210_01.standalone.html";"docs/paper_focus/01_focus_notes/02_\346\226\207\344\273\266\345\272\253_\346\254\212\345\250\201\344\276\206\346\272\220_\344\270\211\350\211\262provenance.md";"docs/paper_focus/01_focus_notes/08_\344\273\273\345\213\231\345\237\267\350\241\214\345\233\236\345\240\261_catalog\345\273\272\346\247\213\350\210\207provenance.md"	40	4719807	9	91034	6	1	
methyl_augmented_filter_phase2	B	Q1 有 57 處路徑引用，但 90.8 MB 過大，留磁碟	57	6	"docs/architecture/20260519_\347\240\224\347\251\266\350\267\257\345\276\221\350\210\207\344\272\224\345\244\247\347\233\256\346\250\231\350\267\257\347\267\232\345\234\226_01.md";"docs/architecture/20260519_\347\240\224\347\251\266\350\267\257\345\276\221\350\210\207\344\272\224\345\244\247\347\233\256\346\250\231\350\267\257\347\267\232\345\234\226_01.standalone.html";"docs/concepts/2026/06/20260609_G6_\347\240\224\347\251\266\346\247\213\346\203\263\344\270\211\345\261\244\346\236\266\346\247\213_\346\274\217\346\226\227\347\240\224\347\251\266\345\215\241\350\255\211\346\223\232\351\217\210_01.standalone.html"	200	90770393	69	958476	33	3	initiated
ng_kde_rescaling	B	Q1 有 26 處路徑引用，但 35.9 MB 過大，留磁碟	26	6	"docs/presentations/validated/2026/04/20260423_\347\240\224\347\251\266\351\200\261\345\240\261_LOH_constrained_phasing_pivot/source_weekly_report.md";"docs/reports/validated/2026/04/20260423_\347\240\224\347\251\266\351\200\261\345\240\261_20260416_20260423_NG2_LOH_constrained_phasing\350\210\207TO_pivot_01.md";docs/concepts/2026/05/20260529_project_tasks_01.json	57	35932303	15	250977	11	2	
paired_priority_bug_audit	MANUAL	Q0 體積量測逾時（>10s）＝ 檔案數量級失控，需專案級處置而非逐檔分類	68	6	"docs/concepts/2026/05/20260514_HP_tag_17_3_to_1_\347\231\275\350\251\261\344\273\213\347\264\271_01.standalone.html";"docs/data_specs/20260411_\345\267\245\344\275\234\345\215\200\345\221\275\345\220\215\350\210\207\347\233\256\351\214\204\347\265\220\346\247\213_01.md";"docs/paper_focus/05_html_staging/\346\227\227\350\211\246\345\200\213\346\241\210_chr2_18086020_subclone_20260612.standalone.html"	-1	0	64	272737	0	0	validated
partB_effect_size_cn_stratification	A	Q1 有 4 處路徑引用，0.0 MB 可進 git	4	1	"docs/reports/research_landscape/06_\347\265\220\350\253\226\347\251\251\345\256\232\346\200\247\345\257\251\346\237\245.md";docs/data_specs/20260601_cleanup_audit/area_3_research_concluded.md;docs/experiments/in_progress/2026/04/20260417_PartB_effect_size_cn_strat_01.md	5	34685	5	22397	1	0	
partB_high_nr_validation	A	Q1 有 4 處路徑引用，0.0 MB 可進 git	4	1	"docs/reports/research_landscape/06_\347\265\220\350\253\226\347\251\251\345\256\232\346\200\247\345\257\251\346\237\245.md";docs/data_specs/20260601_cleanup_audit/area_3_research_concluded.md;docs/experiments/in_progress/2026/04/20260417_B2_3_high_NR_validation_01.md	6	31353	6	19065	1	0	
pre_decision_audit_skill_spec	A	Q1 有 1 處路徑引用，0.0 MB 可進 git	1	1	docs/data_specs/20260601_cleanup_audit/area_3_research_concluded.md	1	12955	1	8859	0	0	verdict_go
purity06_fp_filter_reopen	C	Q2 無路徑引用，但有 1 支 builder 且 4 檔已 tracked，可重建	0	1	"docs/references/20260704_\345\260\210\346\241\210\345\205\250\350\262\214\347\240\224\347\251\266\346\225\264\347\220\206\345\240\261\345\221\212_\350\267\250session\347\220\206\350\247\243\347\242\272\350\252\215_01.md"	4	19628	4	15532	1	0	
selfphasing_v6_production	A	Q1 有 7 處路徑引用，0.0 MB 可進 git	7	7	"docs/architecture/20260519_\347\240\224\347\251\266\350\267\257\345\276\221\350\210\207\344\272\224\345\244\247\347\233\256\346\250\231\350\267\257\347\267\232\345\234\226_01.md";"docs/architecture/20260519_\347\240\224\347\251\266\350\267\257\345\276\221\350\210\207\344\272\224\345\244\247\347\233\256\346\250\231\350\267\257\347\267\232\345\234\226_01.standalone.html";docs/CURRENT_FOCUS.md	4	42512	4	26128	0	0	
seqc2_cnv_stratification	B	Q1 有 23 處路徑引用，但 31.8 MB 過大，留磁碟	23	5	"docs/experiments/in_progress/2026/04/20260409_SEQC2_CNV\345\210\206\345\261\244\350\247\200\345\257\237_01.md";"docs/experiments/validated/2026/04/20260411_GC\346\240\241\346\255\243\350\210\207\347\224\262\345\237\272\345\214\226CN\351\251\227\350\255\211_01.md";"docs/presentations/validated/2026/04/20260413_\347\240\224\347\251\266\351\200\261\345\240\261_LOH_CNV\346\225\264\345\220\210\350\210\207HP\344\277\256\346\255\243/pptx_config.json"	52	31808276	0	0	0	0	
subclonal_reconstruction	A	Q1 有 3 處路徑引用，0.0 MB 可進 git	3	28	docs/data_specs/20260612_output_organization_guide_subclonal_01.md;docs/data_specs/20260615_workflow_audit_improvements_01.md;docs/data_specs/20260615_workflow_audit_review.html	1	6257	1	2161	0	0	skeleton
thread_d_paper	A	Q1 有 4 處路徑引用，0.0 MB 可進 git	4	5	"docs/architecture/20260519_\347\240\224\347\251\266\350\267\257\345\276\221\350\210\207\344\272\224\345\244\247\347\233\256\346\250\231\350\267\257\347\267\232\345\234\226_01.md";"docs/architecture/20260519_\347\240\224\347\251\266\350\267\257\345\276\221\350\210\207\344\272\224\345\244\247\347\233\256\346\250\231\350\267\257\347\267\232\345\234\226_01.standalone.html";docs/CURRENT_FOCUS.md	3	30858	3	14474	0	0	
to_pipeline_staging	B	Q1 有 3 處路徑引用，但 35.4 MB 過大，留磁碟	3	5	docs/data_specs/20260601_cleanup_audit/CLEANUP_PROPOSAL.md;docs/data_specs/20260601_cleanup_audit/area_3_research_concluded.md;docs/data_specs/20260601_cleanup_audit/area_5_docs.md	21	35357682	6	96765	4	0	
tpfp_loh_af_kde_discrimination	B	Q1 有 52 處路徑引用，但 33.5 MB 過大，留磁碟	52	4	"docs/paper_focus/00_\345\205\261\350\255\230\350\255\211\346\223\232\345\217\260\345\270\263_20260612_01.md";"docs/paper_focus/00_\345\276\205\344\277\256\346\255\243\344\272\244\350\276\246\345\226\256_HardGate\344\273\226session_20260612_01.md";"docs/paper_focus/00_\350\253\226\346\226\207\347\253\240\347\257\200\346\235\220\346\226\231\345\260\215\346\207\211\347\270\275\350\241\250_20260612_01.md"	149	33493123	39	359221	22	2	in_progress
tsg_promoter_asm_reviewer	MANUAL	Q0 體積量測逾時（>10s）＝ 檔案數量級失控，需專案級處置而非逐檔分類	91	6	"docs/concepts/2026/06/20260603_\347\240\224\347\251\266\346\225\205\344\272\213\350\210\207\345\233\260\351\233\243\346\225\230\350\277\260_\347\224\262\345\237\272haplotype\350\253\226\346\226\207_\345\205\247\345\244\226\350\255\211\346\223\232_01.md";"docs/concepts/2026/06/20260609_G6_\347\240\224\347\251\266\346\247\213\346\203\263\344\270\211\345\261\244\346\236\266\346\247\213_\346\274\217\346\226\227\347\240\224\347\251\266\345\215\241\350\255\211\346\223\232\351\217\210_01.standalone.html";"docs/concepts/2026/06/20260611_Subclonal_Reconstruction_Paper_Focus_\346\225\264\345\220\210\347\257\207\347\253\240_01.md"	-1	0	258	17423148	0	0	
v5_provenance_followup	B	Q1 有 19 處路徑引用，但 2260.6 MB 過大，留磁碟	19	9	"docs/reports/validated/2026/05/20260508_Self_Phasing_\345\256\214\346\225\264\350\247\200\345\257\237\346\225\264\345\220\210\345\240\261\345\221\212_01.md";"docs/reports/validated/2026/05/20260508_Self_Phasing_\345\256\214\346\225\264\350\247\200\345\257\237\346\225\264\345\220\210\345\240\261\345\221\212_01.standalone.html";docs/data_specs/20260601_cleanup_audit/FINAL_CLEANUP_LEDGER.md	15	2260614371	9	54505	1	0	planned
v6_bam_tpfp_hp_loh_cn	B	Q1 有 43 處路徑引用，但 203.1 MB 過大，留磁碟	43	5	"docs/reports/validated/2026/05/20260522_\351\200\261\345\240\261_V6_signoff_5goal_PI_report/master_draft.md";.claude/skills/narrative-frame/examples/pi_report_scqa_example.md;docs/CURRENT_FOCUS.md	235	203106032	69	780990	35	10	in_progress
vaf_alleledelta_filter_study	A	Q1 有 1 處路徑引用，9.7 MB 可進 git	1	3	docs/data_specs/20260601_cleanup_audit/area_3_research_concluded.md	47	9742194	14	129854	4	0	
z3_internal_feature_exploration	B	Q1 有 8 處路徑引用，但 11.3 MB 過大，留磁碟	8	1	docs/data_specs/20260601_cleanup_audit/area_3_research_concluded.md;docs/experiments/in_progress/2026/04/20260418_Z3_Internal_Feature_Exploration_01.md;docs/experiments/in_progress/2026/04/20260419_Coverage_Multiple_zscore_normalization_01.md	29	11347737	7	58469	6	0	completed
zone_aware_validation	A	Q1 有 9 處路徑引用，1.1 MB 可進 git	9	4	docs/CURRENT_FOCUS.md;docs/concepts/2026/04/20260417_Zone_Aware_Confidence_Framework_01.md;docs/data_specs/20260601_cleanup_audit/area_3_research_concluded.md	15	1133548	2	16239	0	0	
